Company Name;Ticker;Date;Close
APPLE INC.;AAPL;1.4.2010; $7,64 
APPLE INC.;AAPL;1.5.2010; $7,66 
APPLE INC.;AAPL;1.6.2010; $7,53 
APPLE INC.;AAPL;1.7.2010; $7,52 
APPLE INC.;AAPL;1.8.2010; $7,57 
APPLE INC.;AAPL;1.11.2010; $7,50 
APPLE INC.;AAPL;1.12.2010; $7,42 
APPLE INC.;AAPL;1.13.2010; $7,52 
APPLE INC.;AAPL;1.14.2010; $7,48 
APPLE INC.;AAPL;1.15.2010; $7,35 
APPLE INC.;AAPL;1.19.2010; $7,68 
APPLE INC.;AAPL;1.20.2010; $7,56 
APPLE INC.;AAPL;1.21.2010; $7,43 
APPLE INC.;AAPL;1.22.2010; $7,06 
APPLE INC.;AAPL;1.25.2010; $7,25 
APPLE INC.;AAPL;1.26.2010; $7,36 
APPLE INC.;AAPL;1.27.2010; $7,42 
APPLE INC.;AAPL;1.28.2010; $7,12 
APPLE INC.;AAPL;1.29.2010; $6,86 
APPLE INC.;AAPL;2.1.2010; $6,95 
APPLE INC.;AAPL;2.2.2010; $7,00 
APPLE INC.;AAPL;2.3.2010; $7,12 
APPLE INC.;AAPL;2.4.2010; $6,86 
APPLE INC.;AAPL;2.5.2010; $6,98 
APPLE INC.;AAPL;2.8.2010; $6,93 
APPLE INC.;AAPL;2.9.2010; $7,01 
APPLE INC.;AAPL;2.10.2010; $6,97 
APPLE INC.;AAPL;2.11.2010; $7,10 
APPLE INC.;AAPL;2.12.2010; $7,16 
APPLE INC.;AAPL;2.16.2010; $7,26 
APPLE INC.;AAPL;2.17.2010; $7,23 
APPLE INC.;AAPL;2.18.2010; $7,25 
APPLE INC.;AAPL;2.19.2010; $7,20 
APPLE INC.;AAPL;2.22.2010; $7,16 
APPLE INC.;AAPL;2.23.2010; $7,04 
APPLE INC.;AAPL;2.24.2010; $7,17 
APPLE INC.;AAPL;2.25.2010; $7,21 
APPLE INC.;AAPL;2.26.2010; $7,31 
APPLE INC.;AAPL;3.1.2010; $7,46 
APPLE INC.;AAPL;3.2.2010; $7,46 
APPLE INC.;AAPL;3.3.2010; $7,48 
APPLE INC.;AAPL;3.4.2010; $7,53 
APPLE INC.;AAPL;3.5.2010; $7,82 
APPLE INC.;AAPL;3.8.2010; $7,82 
APPLE INC.;AAPL;3.9.2010; $7,97 
APPLE INC.;AAPL;3.10.2010; $8,03 
APPLE INC.;AAPL;3.11.2010; $8,05 
APPLE INC.;AAPL;3.12.2010; $8,09 
APPLE INC.;AAPL;3.15.2010; $7,99 
APPLE INC.;AAPL;3.16.2010; $8,02 
APPLE INC.;AAPL;3.17.2010; $8,00 
APPLE INC.;AAPL;3.18.2010; $8,02 
APPLE INC.;AAPL;3.19.2010; $7,94 
APPLE INC.;AAPL;3.22.2010; $8,03 
APPLE INC.;AAPL;3.23.2010; $8,16 
APPLE INC.;AAPL;3.24.2010; $8,19 
APPLE INC.;AAPL;3.25.2010; $8,09 
APPLE INC.;AAPL;3.26.2010; $8,25 
APPLE INC.;AAPL;3.29.2010; $8,30 
APPLE INC.;AAPL;3.30.2010; $8,42 
APPLE INC.;AAPL;3.31.2010; $8,39 
APPLE INC.;AAPL;4.1.2010; $8,43 
APPLE INC.;AAPL;4.5.2010; $8,52 
APPLE INC.;AAPL;4.6.2010; $8,56 
APPLE INC.;AAPL;4.7.2010; $8,59 
APPLE INC.;AAPL;4.8.2010; $8,57 
APPLE INC.;AAPL;4.9.2010; $8,64 
APPLE INC.;AAPL;4.12.2010; $8,65 
APPLE INC.;AAPL;4.13.2010; $8,66 
APPLE INC.;AAPL;4.14.2010; $8,77 
APPLE INC.;AAPL;4.15.2010; $8,89 
APPLE INC.;AAPL;4.16.2010; $8,84 
APPLE INC.;AAPL;4.19.2010; $8,82 
APPLE INC.;AAPL;4.20.2010; $8,74 
APPLE INC.;AAPL;4.21.2010; $9,26 
APPLE INC.;AAPL;4.22.2010; $9,52 
APPLE INC.;AAPL;4.23.2010; $9,67 
APPLE INC.;AAPL;4.26.2010; $9,63 
APPLE INC.;AAPL;4.27.2010; $9,36 
APPLE INC.;AAPL;4.28.2010; $9,34 
APPLE INC.;AAPL;4.29.2010; $9,59 
APPLE INC.;AAPL;4.30.2010; $9,32 
APPLE INC.;AAPL;5.3.2010; $9,51 
APPLE INC.;AAPL;5.4.2010; $9,24 
APPLE INC.;AAPL;5.5.2010; $9,14 
APPLE INC.;AAPL;5.6.2010; $8,79 
APPLE INC.;AAPL;5.7.2010; $8,42 
APPLE INC.;AAPL;5.10.2010; $9,07 
APPLE INC.;AAPL;5.11.2010; $9,16 
APPLE INC.;AAPL;5.12.2010; $9,36 
APPLE INC.;AAPL;5.13.2010; $9,23 
APPLE INC.;AAPL;5.14.2010; $9,07 
APPLE INC.;AAPL;5.17.2010; $9,08 
APPLE INC.;AAPL;5.18.2010; $9,01 
APPLE INC.;AAPL;5.19.2010; $8,87 
APPLE INC.;AAPL;5.20.2010; $8,49 
APPLE INC.;AAPL;5.21.2010; $8,65 
APPLE INC.;AAPL;5.24.2010; $8,81 
APPLE INC.;AAPL;5.25.2010; $8,76 
APPLE INC.;AAPL;5.26.2010; $8,72 
APPLE INC.;AAPL;5.27.2010; $9,05 
APPLE INC.;AAPL;5.28.2010; $9,17 
APPLE INC.;AAPL;6.1.2010; $9,32 
APPLE INC.;AAPL;6.2.2010; $9,43 
APPLE INC.;AAPL;6.3.2010; $9,40 
APPLE INC.;AAPL;6.4.2010; $9,14 
APPLE INC.;AAPL;6.7.2010; $8,96 
APPLE INC.;AAPL;6.8.2010; $8,90 
APPLE INC.;AAPL;6.9.2010; $8,69 
APPLE INC.;AAPL;6.10.2010; $8,95 
APPLE INC.;AAPL;6.11.2010; $9,05 
APPLE INC.;AAPL;6.14.2010; $9,08 
APPLE INC.;AAPL;6.15.2010; $9,27 
APPLE INC.;AAPL;6.16.2010; $9,54 
APPLE INC.;AAPL;6.17.2010; $9,71 
APPLE INC.;AAPL;6.18.2010; $9,79 
APPLE INC.;AAPL;6.21.2010; $9,65 
APPLE INC.;AAPL;6.22.2010; $9,78 
APPLE INC.;AAPL;6.23.2010; $9,68 
APPLE INC.;AAPL;6.24.2010; $9,61 
APPLE INC.;AAPL;6.25.2010; $9,53 
APPLE INC.;AAPL;6.28.2010; $9,58 
APPLE INC.;AAPL;6.29.2010; $9,15 
APPLE INC.;AAPL;6.30.2010; $8,98 
APPLE INC.;AAPL;7.1.2010; $8,87 
APPLE INC.;AAPL;7.2.2010; $8,82 
APPLE INC.;AAPL;7.6.2010; $8,88 
APPLE INC.;AAPL;7.7.2010; $9,24 
APPLE INC.;AAPL;7.8.2010; $9,22 
APPLE INC.;AAPL;7.9.2010; $9,27 
APPLE INC.;AAPL;7.12.2010; $9,19 
APPLE INC.;AAPL;7.13.2010; $8,99 
APPLE INC.;AAPL;7.14.2010; $9,03 
APPLE INC.;AAPL;7.15.2010; $8,98 
APPLE INC.;AAPL;7.16.2010; $8,93 
APPLE INC.;AAPL;7.19.2010; $8,77 
APPLE INC.;AAPL;7.20.2010; $9,00 
APPLE INC.;AAPL;7.21.2010; $9,08 
APPLE INC.;AAPL;7.22.2010; $9,25 
APPLE INC.;AAPL;7.23.2010; $9,28 
APPLE INC.;AAPL;7.26.2010; $9,26 
APPLE INC.;AAPL;7.27.2010; $9,43 
APPLE INC.;AAPL;7.28.2010; $9,32 
APPLE INC.;AAPL;7.29.2010; $9,22 
APPLE INC.;AAPL;7.30.2010; $9,19 
APPLE INC.;AAPL;8.2.2010; $9,35 
APPLE INC.;AAPL;8.3.2010; $9,35 
APPLE INC.;AAPL;8.4.2010; $9,39 
APPLE INC.;AAPL;8.5.2010; $9,35 
APPLE INC.;AAPL;8.6.2010; $9,29 
APPLE INC.;AAPL;8.9.2010; $9,35 
APPLE INC.;AAPL;8.10.2010; $9,26 
APPLE INC.;AAPL;8.11.2010; $8,94 
APPLE INC.;AAPL;8.12.2010; $8,99 
APPLE INC.;AAPL;8.13.2010; $8,90 
APPLE INC.;AAPL;8.16.2010; $8,84 
APPLE INC.;AAPL;8.17.2010; $9,00 
APPLE INC.;AAPL;8.18.2010; $9,04 
APPLE INC.;AAPL;8.19.2010; $8,92 
APPLE INC.;AAPL;8.20.2010; $8,92 
APPLE INC.;AAPL;8.23.2010; $8,78 
APPLE INC.;AAPL;8.24.2010; $8,57 
APPLE INC.;AAPL;8.25.2010; $8,67 
APPLE INC.;AAPL;8.26.2010; $8,58 
APPLE INC.;AAPL;8.27.2010; $8,63 
APPLE INC.;AAPL;8.30.2010; $8,66 
APPLE INC.;AAPL;8.31.2010; $8,68 
APPLE INC.;AAPL;9.1.2010; $8,94 
APPLE INC.;AAPL;9.2.2010; $9,01 
APPLE INC.;AAPL;9.3.2010; $9,24 
APPLE INC.;AAPL;9.7.2010; $9,21 
APPLE INC.;AAPL;9.8.2010; $9,39 
APPLE INC.;AAPL;9.9.2010; $9,40 
APPLE INC.;AAPL;9.10.2010; $9,41 
APPLE INC.;AAPL;9.13.2010; $9,54 
APPLE INC.;AAPL;9.14.2010; $9,57 
APPLE INC.;AAPL;9.15.2010; $9,65 
APPLE INC.;AAPL;9.16.2010; $9,88 
APPLE INC.;AAPL;9.17.2010; $9,83 
APPLE INC.;AAPL;9.20.2010; $10,12 
APPLE INC.;AAPL;9.21.2010; $10,13 
APPLE INC.;AAPL;9.22.2010; $10,28 
APPLE INC.;AAPL;9.23.2010; $10,32 
APPLE INC.;AAPL;9.24.2010; $10,44 
APPLE INC.;AAPL;9.27.2010; $10,40 
APPLE INC.;AAPL;9.28.2010; $10,25 
APPLE INC.;AAPL;9.29.2010; $10,26 
APPLE INC.;AAPL;9.30.2010; $10,13 
APPLE INC.;AAPL;10.1.2010; $10,09 
APPLE INC.;AAPL;10.4.2010; $9,95 
APPLE INC.;AAPL;10.5.2010; $10,32 
APPLE INC.;AAPL;10.6.2010; $10,33 
APPLE INC.;AAPL;10.7.2010; $10,33 
APPLE INC.;AAPL;10.8.2010; $10,50 
APPLE INC.;AAPL;10.11.2010; $10,55 
APPLE INC.;AAPL;10.12.2010; $10,66 
APPLE INC.;AAPL;10.13.2010; $10,72 
APPLE INC.;AAPL;10.14.2010; $10,80 
APPLE INC.;AAPL;10.15.2010; $11,24 
APPLE INC.;AAPL;10.18.2010; $11,36 
APPLE INC.;AAPL;10.19.2010; $11,05 
APPLE INC.;AAPL;10.20.2010; $11,09 
APPLE INC.;AAPL;10.21.2010; $11,05 
APPLE INC.;AAPL;10.22.2010; $10,98 
APPLE INC.;AAPL;10.25.2010; $11,03 
APPLE INC.;AAPL;10.26.2010; $11,00 
APPLE INC.;AAPL;10.27.2010; $10,99 
APPLE INC.;AAPL;10.28.2010; $10,90 
