Company Name;Ticker;Date;Close
Affirm Holdings Inc;AFRM;13.01.2021; $97,24 
Affirm Holdings Inc;AFRM;14.01.2021; $114,94 
Affirm Holdings Inc;AFRM;15.01.2021; $117,00 
Affirm Holdings Inc;AFRM;19.01.2021; $110,99 
Affirm Holdings Inc;AFRM;20.01.2021; $106,21 
Affirm Holdings Inc;AFRM;21.01.2021; $108,97 
Affirm Holdings Inc;AFRM;22.01.2021; $119,95 
Affirm Holdings Inc;AFRM;25.01.2021; $112,70 
Affirm Holdings Inc;AFRM;26.01.2021; $110,08 
Affirm Holdings Inc;AFRM;27.01.2021; $105,29 
Affirm Holdings Inc;AFRM;28.01.2021; $99,42 
Affirm Holdings Inc;AFRM;29.01.2021; $99,59 
Affirm Holdings Inc;AFRM;01.02.2021; $107,61 
Affirm Holdings Inc;AFRM;02.02.2021; $113,00 
Affirm Holdings Inc;AFRM;03.02.2021; $110,95 
Affirm Holdings Inc;AFRM;04.02.2021; $108,77 
Affirm Holdings Inc;AFRM;05.02.2021; $103,45 
Affirm Holdings Inc;AFRM;08.02.2021; $122,76 
Affirm Holdings Inc;AFRM;09.02.2021; $131,00 
Affirm Holdings Inc;AFRM;10.02.2021; $136,23 
Affirm Holdings Inc;AFRM;11.02.2021; $139,99 
Affirm Holdings Inc;AFRM;12.02.2021; $125,89 
Affirm Holdings Inc;AFRM;16.02.2021; $119,15 
Affirm Holdings Inc;AFRM;17.02.2021; $112,53 
Affirm Holdings Inc;AFRM;18.02.2021; $105,55 
Affirm Holdings Inc;AFRM;19.02.2021; $105,99 
Affirm Holdings Inc;AFRM;22.02.2021; $104,83 
Affirm Holdings Inc;AFRM;23.02.2021; $102,01 
Affirm Holdings Inc;AFRM;24.02.2021; $102,49 
Affirm Holdings Inc;AFRM;25.02.2021; $94,20 
Affirm Holdings Inc;AFRM;26.02.2021; $93,06 
Affirm Holdings Inc;AFRM;01.03.2021; $91,44 
Affirm Holdings Inc;AFRM;02.03.2021; $91,80 
Affirm Holdings Inc;AFRM;03.03.2021; $86,31 
Affirm Holdings Inc;AFRM;04.03.2021; $84,46 
Affirm Holdings Inc;AFRM;05.03.2021; $81,14 
Affirm Holdings Inc;AFRM;08.03.2021; $74,31 
Affirm Holdings Inc;AFRM;09.03.2021; $79,66 
Affirm Holdings Inc;AFRM;10.03.2021; $80,76 
Affirm Holdings Inc;AFRM;11.03.2021; $81,25 
Affirm Holdings Inc;AFRM;12.03.2021; $79,57 
Affirm Holdings Inc;AFRM;15.03.2021; $81,35 
Affirm Holdings Inc;AFRM;16.03.2021; $80,80 
Affirm Holdings Inc;AFRM;17.03.2021; $81,09 
Affirm Holdings Inc;AFRM;18.03.2021; $74,39 
Affirm Holdings Inc;AFRM;19.03.2021; $77,37 
Affirm Holdings Inc;AFRM;22.03.2021; $81,99 
Affirm Holdings Inc;AFRM;23.03.2021; $78,87 
Affirm Holdings Inc;AFRM;24.03.2021; $72,63 
