Company Name;Ticker;Date;Close
MONGODB, INC;MDB;19.10.2017; $32,07 
MONGODB, INC;MDB;20.10.2017; $30,68 
MONGODB, INC;MDB;23.10.2017; $30,50 
MONGODB, INC;MDB;24.10.2017; $30,57 
MONGODB, INC;MDB;25.10.2017; $31,00 
MONGODB, INC;MDB;26.10.2017; $31,10 
MONGODB, INC;MDB;27.10.2017; $30,89 
MONGODB, INC;MDB;30.10.2017; $29,85 
MONGODB, INC;MDB;31.10.2017; $30,48 
MONGODB, INC;MDB;01.11.2017; $29,80 
MONGODB, INC;MDB;02.11.2017; $29,95 
MONGODB, INC;MDB;03.11.2017; $29,63 
MONGODB, INC;MDB;06.11.2017; $30,61 
MONGODB, INC;MDB;07.11.2017; $29,81 
MONGODB, INC;MDB;08.11.2017; $29,88 
MONGODB, INC;MDB;09.11.2017; $29,22 
MONGODB, INC;MDB;10.11.2017; $30,20 
MONGODB, INC;MDB;13.11.2017; $30,68 
MONGODB, INC;MDB;14.11.2017; $29,88 
MONGODB, INC;MDB;15.11.2017; $29,63 
MONGODB, INC;MDB;16.11.2017; $29,87 
MONGODB, INC;MDB;17.11.2017; $29,83 
MONGODB, INC;MDB;20.11.2017; $29,26 
MONGODB, INC;MDB;21.11.2017; $29,21 
MONGODB, INC;MDB;22.11.2017; $29,28 
MONGODB, INC;MDB;24.11.2017; $29,92 
MONGODB, INC;MDB;27.11.2017; $29,69 
MONGODB, INC;MDB;28.11.2017; $29,55 
MONGODB, INC;MDB;29.11.2017; $28,71 
MONGODB, INC;MDB;30.11.2017; $28,53 
MONGODB, INC;MDB;01.12.2017; $27,80 
MONGODB, INC;MDB;04.12.2017; $27,36 
MONGODB, INC;MDB;05.12.2017; $26,15 
MONGODB, INC;MDB;06.12.2017; $26,87 
MONGODB, INC;MDB;07.12.2017; $26,62 
MONGODB, INC;MDB;08.12.2017; $25,76 
MONGODB, INC;MDB;11.12.2017; $26,86 
MONGODB, INC;MDB;12.12.2017; $29,00 
MONGODB, INC;MDB;13.12.2017; $27,35 
MONGODB, INC;MDB;14.12.2017; $28,13 
MONGODB, INC;MDB;15.12.2017; $29,42 
MONGODB, INC;MDB;18.12.2017; $28,30 
MONGODB, INC;MDB;19.12.2017; $28,05 
MONGODB, INC;MDB;20.12.2017; $29,50 
MONGODB, INC;MDB;21.12.2017; $28,68 
MONGODB, INC;MDB;22.12.2017; $28,45 
MONGODB, INC;MDB;26.12.2017; $28,80 
MONGODB, INC;MDB;27.12.2017; $29,10 
MONGODB, INC;MDB;28.12.2017; $30,24 
MONGODB, INC;MDB;29.12.2017; $29,68 
MONGODB, INC;MDB;02.01.2018; $29,25 
MONGODB, INC;MDB;03.01.2018; $29,15 
MONGODB, INC;MDB;04.01.2018; $29,05 
MONGODB, INC;MDB;05.01.2018; $29,05 
MONGODB, INC;MDB;08.01.2018; $28,81 
MONGODB, INC;MDB;09.01.2018; $28,79 
MONGODB, INC;MDB;10.01.2018; $28,87 
MONGODB, INC;MDB;11.01.2018; $29,61 
MONGODB, INC;MDB;12.01.2018; $29,28 
MONGODB, INC;MDB;16.01.2018; $29,06 
MONGODB, INC;MDB;17.01.2018; $29,53 
MONGODB, INC;MDB;18.01.2018; $29,08 
MONGODB, INC;MDB;19.01.2018; $29,12 
MONGODB, INC;MDB;22.01.2018; $28,81 
MONGODB, INC;MDB;23.01.2018; $28,83 
MONGODB, INC;MDB;24.01.2018; $28,17 
MONGODB, INC;MDB;25.01.2018; $28,01 
MONGODB, INC;MDB;26.01.2018; $28,19 
MONGODB, INC;MDB;29.01.2018; $27,68 
MONGODB, INC;MDB;30.01.2018; $27,83 
MONGODB, INC;MDB;31.01.2018; $27,11 
MONGODB, INC;MDB;01.02.2018; $27,45 
MONGODB, INC;MDB;02.02.2018; $26,52 
MONGODB, INC;MDB;05.02.2018; $25,88 
MONGODB, INC;MDB;06.02.2018; $25,78 
MONGODB, INC;MDB;07.02.2018; $26,39 
MONGODB, INC;MDB;08.02.2018; $26,50 
MONGODB, INC;MDB;09.02.2018; $26,40 
MONGODB, INC;MDB;12.02.2018; $27,16 
MONGODB, INC;MDB;13.02.2018; $28,15 
MONGODB, INC;MDB;14.02.2018; $30,13 
MONGODB, INC;MDB;15.02.2018; $29,89 
MONGODB, INC;MDB;16.02.2018; $29,96 
MONGODB, INC;MDB;20.02.2018; $30,27 
MONGODB, INC;MDB;21.02.2018; $31,05 
MONGODB, INC;MDB;22.02.2018; $30,08 
MONGODB, INC;MDB;23.02.2018; $31,62 
MONGODB, INC;MDB;26.02.2018; $30,87 
MONGODB, INC;MDB;27.02.2018; $31,40 
MONGODB, INC;MDB;28.02.2018; $32,21 
MONGODB, INC;MDB;01.03.2018; $32,94 
MONGODB, INC;MDB;02.03.2018; $35,25 
MONGODB, INC;MDB;05.03.2018; $36,01 
MONGODB, INC;MDB;06.03.2018; $34,52 
MONGODB, INC;MDB;07.03.2018; $38,02 
MONGODB, INC;MDB;08.03.2018; $38,56 
MONGODB, INC;MDB;09.03.2018; $37,79 
MONGODB, INC;MDB;12.03.2018; $39,50 
MONGODB, INC;MDB;13.03.2018; $37,86 
MONGODB, INC;MDB;14.03.2018; $40,67 
MONGODB, INC;MDB;15.03.2018; $39,73 
MONGODB, INC;MDB;16.03.2018; $39,28 
MONGODB, INC;MDB;19.03.2018; $39,62 
MONGODB, INC;MDB;20.03.2018; $39,98 
MONGODB, INC;MDB;21.03.2018; $40,12 
MONGODB, INC;MDB;22.03.2018; $40,20 
MONGODB, INC;MDB;23.03.2018; $38,72 
MONGODB, INC;MDB;26.03.2018; $44,80 
MONGODB, INC;MDB;27.03.2018; $41,94 
MONGODB, INC;MDB;28.03.2018; $41,71 
MONGODB, INC;MDB;29.03.2018; $43,40 
MONGODB, INC;MDB;02.04.2018; $44,20 
MONGODB, INC;MDB;03.04.2018; $42,79 
MONGODB, INC;MDB;04.04.2018; $42,44 
MONGODB, INC;MDB;05.04.2018; $43,00 
MONGODB, INC;MDB;06.04.2018; $40,77 
MONGODB, INC;MDB;09.04.2018; $40,08 
MONGODB, INC;MDB;10.04.2018; $40,57 
MONGODB, INC;MDB;11.04.2018; $40,69 
MONGODB, INC;MDB;12.04.2018; $40,21 
MONGODB, INC;MDB;13.04.2018; $39,66 
MONGODB, INC;MDB;16.04.2018; $39,46 
MONGODB, INC;MDB;17.04.2018; $38,35 
MONGODB, INC;MDB;18.04.2018; $38,47 
MONGODB, INC;MDB;19.04.2018; $37,82 
MONGODB, INC;MDB;20.04.2018; $37,77 
MONGODB, INC;MDB;23.04.2018; $36,75 
MONGODB, INC;MDB;24.04.2018; $34,77 
MONGODB, INC;MDB;25.04.2018; $34,90 
MONGODB, INC;MDB;26.04.2018; $37,39 
MONGODB, INC;MDB;27.04.2018; $36,26 
MONGODB, INC;MDB;30.04.2018; $35,99 
MONGODB, INC;MDB;01.05.2018; $36,51 
MONGODB, INC;MDB;02.05.2018; $37,11 
MONGODB, INC;MDB;03.05.2018; $38,55 
MONGODB, INC;MDB;04.05.2018; $36,97 
MONGODB, INC;MDB;07.05.2018; $37,76 
MONGODB, INC;MDB;08.05.2018; $41,01 
MONGODB, INC;MDB;09.05.2018; $41,20 
MONGODB, INC;MDB;10.05.2018; $40,75 
MONGODB, INC;MDB;11.05.2018; $43,21 
