Company Name;Ticker;Date;Close
MICROSOFT CORPORATION;MSFT;04.01.2010; $30,95 
MICROSOFT CORPORATION;MSFT;05.01.2010; $30,96 
MICROSOFT CORPORATION;MSFT;06.01.2010; $30,77 
MICROSOFT CORPORATION;MSFT;07.01.2010; $30,45 
MICROSOFT CORPORATION;MSFT;08.01.2010; $30,66 
MICROSOFT CORPORATION;MSFT;11.01.2010; $30,27 
MICROSOFT CORPORATION;MSFT;12.01.2010; $30,07 
MICROSOFT CORPORATION;MSFT;13.01.2010; $30,35 
MICROSOFT CORPORATION;MSFT;14.01.2010; $30,96 
MICROSOFT CORPORATION;MSFT;15.01.2010; $30,86 
MICROSOFT CORPORATION;MSFT;19.01.2010; $31,10 
MICROSOFT CORPORATION;MSFT;20.01.2010; $30,59 
MICROSOFT CORPORATION;MSFT;21.01.2010; $30,01 
MICROSOFT CORPORATION;MSFT;22.01.2010; $28,96 
MICROSOFT CORPORATION;MSFT;25.01.2010; $29,32 
MICROSOFT CORPORATION;MSFT;26.01.2010; $29,50 
MICROSOFT CORPORATION;MSFT;27.01.2010; $29,67 
MICROSOFT CORPORATION;MSFT;28.01.2010; $29,16 
MICROSOFT CORPORATION;MSFT;29.01.2010; $28,18 
MICROSOFT CORPORATION;MSFT;01.02.2010; $28,41 
MICROSOFT CORPORATION;MSFT;02.02.2010; $28,46 
MICROSOFT CORPORATION;MSFT;03.02.2010; $28,63 
MICROSOFT CORPORATION;MSFT;04.02.2010; $27,84 
MICROSOFT CORPORATION;MSFT;05.02.2010; $28,02 
MICROSOFT CORPORATION;MSFT;08.02.2010; $27,72 
MICROSOFT CORPORATION;MSFT;09.02.2010; $28,01 
MICROSOFT CORPORATION;MSFT;10.02.2010; $27,99 
MICROSOFT CORPORATION;MSFT;11.02.2010; $28,12 
MICROSOFT CORPORATION;MSFT;12.02.2010; $27,93 
MICROSOFT CORPORATION;MSFT;16.02.2010; $28,35 
MICROSOFT CORPORATION;MSFT;17.02.2010; $28,59 
MICROSOFT CORPORATION;MSFT;18.02.2010; $28,97 
MICROSOFT CORPORATION;MSFT;19.02.2010; $28,77 
MICROSOFT CORPORATION;MSFT;22.02.2010; $28,73 
MICROSOFT CORPORATION;MSFT;23.02.2010; $28,33 
MICROSOFT CORPORATION;MSFT;24.02.2010; $28,63 
MICROSOFT CORPORATION;MSFT;25.02.2010; $28,60 
MICROSOFT CORPORATION;MSFT;26.02.2010; $28,67 
MICROSOFT CORPORATION;MSFT;01.03.2010; $29,02 
MICROSOFT CORPORATION;MSFT;02.03.2010; $28,46 
MICROSOFT CORPORATION;MSFT;03.03.2010; $28,46 
MICROSOFT CORPORATION;MSFT;04.03.2010; $28,63 
MICROSOFT CORPORATION;MSFT;05.03.2010; $28,59 
MICROSOFT CORPORATION;MSFT;08.03.2010; $28,63 
MICROSOFT CORPORATION;MSFT;09.03.2010; $28,80 
MICROSOFT CORPORATION;MSFT;10.03.2010; $28,97 
MICROSOFT CORPORATION;MSFT;11.03.2010; $29,18 
MICROSOFT CORPORATION;MSFT;12.03.2010; $29,27 
MICROSOFT CORPORATION;MSFT;15.03.2010; $29,29 
MICROSOFT CORPORATION;MSFT;16.03.2010; $29,37 
MICROSOFT CORPORATION;MSFT;17.03.2010; $29,63 
MICROSOFT CORPORATION;MSFT;18.03.2010; $29,61 
MICROSOFT CORPORATION;MSFT;19.03.2010; $29,59 
MICROSOFT CORPORATION;MSFT;22.03.2010; $29,60 
MICROSOFT CORPORATION;MSFT;23.03.2010; $29,88 
MICROSOFT CORPORATION;MSFT;24.03.2010; $29,65 
MICROSOFT CORPORATION;MSFT;25.03.2010; $30,01 
MICROSOFT CORPORATION;MSFT;26.03.2010; $29,66 
MICROSOFT CORPORATION;MSFT;29.03.2010; $29,59 
MICROSOFT CORPORATION;MSFT;30.03.2010; $29,77 
MICROSOFT CORPORATION;MSFT;31.03.2010; $29,29 
MICROSOFT CORPORATION;MSFT;01.04.2010; $29,16 
MICROSOFT CORPORATION;MSFT;05.04.2010; $29,27 
MICROSOFT CORPORATION;MSFT;06.04.2010; $29,32 
MICROSOFT CORPORATION;MSFT;07.04.2010; $29,35 
MICROSOFT CORPORATION;MSFT;08.04.2010; $29,92 
MICROSOFT CORPORATION;MSFT;09.04.2010; $30,34 
MICROSOFT CORPORATION;MSFT;12.04.2010; $30,32 
MICROSOFT CORPORATION;MSFT;13.04.2010; $30,45 
MICROSOFT CORPORATION;MSFT;14.04.2010; $30,82 
MICROSOFT CORPORATION;MSFT;15.04.2010; $30,87 
MICROSOFT CORPORATION;MSFT;16.04.2010; $30,67 
MICROSOFT CORPORATION;MSFT;19.04.2010; $31,04 
MICROSOFT CORPORATION;MSFT;20.04.2010; $31,36 
MICROSOFT CORPORATION;MSFT;21.04.2010; $31,33 
MICROSOFT CORPORATION;MSFT;22.04.2010; $31,39 
MICROSOFT CORPORATION;MSFT;23.04.2010; $30,96 
MICROSOFT CORPORATION;MSFT;26.04.2010; $31,11 
MICROSOFT CORPORATION;MSFT;27.04.2010; $30,85 
MICROSOFT CORPORATION;MSFT;28.04.2010; $30,91 
MICROSOFT CORPORATION;MSFT;29.04.2010; $31,00 
MICROSOFT CORPORATION;MSFT;30.04.2010; $30,54 
MICROSOFT CORPORATION;MSFT;03.05.2010; $30,86 
MICROSOFT CORPORATION;MSFT;04.05.2010; $30,13 
MICROSOFT CORPORATION;MSFT;05.05.2010; $29,85 
MICROSOFT CORPORATION;MSFT;06.05.2010; $28,98 
MICROSOFT CORPORATION;MSFT;07.05.2010; $28,21 
MICROSOFT CORPORATION;MSFT;10.05.2010; $28,94 
MICROSOFT CORPORATION;MSFT;11.05.2010; $28,88 
MICROSOFT CORPORATION;MSFT;12.05.2010; $29,44 
MICROSOFT CORPORATION;MSFT;13.05.2010; $29,24 
MICROSOFT CORPORATION;MSFT;14.05.2010; $28,93 
MICROSOFT CORPORATION;MSFT;17.05.2010; $28,94 
MICROSOFT CORPORATION;MSFT;18.05.2010; $28,60 
MICROSOFT CORPORATION;MSFT;19.05.2010; $28,24 
MICROSOFT CORPORATION;MSFT;20.05.2010; $27,11 
MICROSOFT CORPORATION;MSFT;21.05.2010; $26,84 
MICROSOFT CORPORATION;MSFT;24.05.2010; $26,27 
MICROSOFT CORPORATION;MSFT;25.05.2010; $26,07 
MICROSOFT CORPORATION;MSFT;26.05.2010; $25,01 
MICROSOFT CORPORATION;MSFT;27.05.2010; $26,00 
MICROSOFT CORPORATION;MSFT;28.05.2010; $25,80 
MICROSOFT CORPORATION;MSFT;01.06.2010; $25,89 
MICROSOFT CORPORATION;MSFT;02.06.2010; $26,46 
MICROSOFT CORPORATION;MSFT;03.06.2010; $26,86 
MICROSOFT CORPORATION;MSFT;04.06.2010; $25,79 
MICROSOFT CORPORATION;MSFT;07.06.2010; $25,29 
MICROSOFT CORPORATION;MSFT;08.06.2010; $25,11 
