Company Name;Ticker;Date;Close
NEWMARK GROUP, INC.;NMRK;15.12.2017; $13,95 
NEWMARK GROUP, INC.;NMRK;18.12.2017; $14,61 
NEWMARK GROUP, INC.;NMRK;19.12.2017; $15,34 
NEWMARK GROUP, INC.;NMRK;20.12.2017; $15,37 
NEWMARK GROUP, INC.;NMRK;21.12.2017; $15,88 
NEWMARK GROUP, INC.;NMRK;22.12.2017; $15,46 
NEWMARK GROUP, INC.;NMRK;26.12.2017; $15,54 
NEWMARK GROUP, INC.;NMRK;27.12.2017; $15,50 
NEWMARK GROUP, INC.;NMRK;28.12.2017; $15,49 
NEWMARK GROUP, INC.;NMRK;29.12.2017; $15,90 
NEWMARK GROUP, INC.;NMRK;02.01.2018; $16,16 
NEWMARK GROUP, INC.;NMRK;03.01.2018; $15,75 
NEWMARK GROUP, INC.;NMRK;04.01.2018; $15,63 
NEWMARK GROUP, INC.;NMRK;05.01.2018; $15,55 
NEWMARK GROUP, INC.;NMRK;08.01.2018; $15,56 
NEWMARK GROUP, INC.;NMRK;09.01.2018; $15,47 
NEWMARK GROUP, INC.;NMRK;10.01.2018; $15,54 
NEWMARK GROUP, INC.;NMRK;11.01.2018; $15,97 
NEWMARK GROUP, INC.;NMRK;12.01.2018; $15,87 
NEWMARK GROUP, INC.;NMRK;16.01.2018; $15,99 
NEWMARK GROUP, INC.;NMRK;17.01.2018; $16,06 
NEWMARK GROUP, INC.;NMRK;18.01.2018; $16,06 
NEWMARK GROUP, INC.;NMRK;19.01.2018; $16,25 
NEWMARK GROUP, INC.;NMRK;22.01.2018; $16,33 
NEWMARK GROUP, INC.;NMRK;23.01.2018; $16,55 
NEWMARK GROUP, INC.;NMRK;24.01.2018; $16,53 
NEWMARK GROUP, INC.;NMRK;25.01.2018; $16,34 
NEWMARK GROUP, INC.;NMRK;26.01.2018; $16,66 
NEWMARK GROUP, INC.;NMRK;29.01.2018; $16,36 
NEWMARK GROUP, INC.;NMRK;30.01.2018; $16,44 
NEWMARK GROUP, INC.;NMRK;31.01.2018; $16,61 
NEWMARK GROUP, INC.;NMRK;01.02.2018; $16,66 
NEWMARK GROUP, INC.;NMRK;02.02.2018; $16,04 
NEWMARK GROUP, INC.;NMRK;05.02.2018; $16,02 
NEWMARK GROUP, INC.;NMRK;06.02.2018; $15,96 
NEWMARK GROUP, INC.;NMRK;07.02.2018; $16,13 
NEWMARK GROUP, INC.;NMRK;08.02.2018; $15,94 
NEWMARK GROUP, INC.;NMRK;09.02.2018; $15,00 
NEWMARK GROUP, INC.;NMRK;12.02.2018; $14,69 
NEWMARK GROUP, INC.;NMRK;13.02.2018; $15,30 
NEWMARK GROUP, INC.;NMRK;14.02.2018; $15,15 
NEWMARK GROUP, INC.;NMRK;15.02.2018; $14,90 
NEWMARK GROUP, INC.;NMRK;16.02.2018; $14,86 
NEWMARK GROUP, INC.;NMRK;20.02.2018; $14,74 
NEWMARK GROUP, INC.;NMRK;21.02.2018; $14,80 
NEWMARK GROUP, INC.;NMRK;22.02.2018; $14,58 
