Company Name;Ticker;Date;Close
Upstart Holdings Inc;UPST;12.16.2020; $29,47 
Upstart Holdings Inc;UPST;12.17.2020; $35,77 
Upstart Holdings Inc;UPST;12.18.2020; $44,09 
Upstart Holdings Inc;UPST;12.21.2020; $41,10 
Upstart Holdings Inc;UPST;12.22.2020; $47,84 
Upstart Holdings Inc;UPST;12.23.2020; $46,32 
Upstart Holdings Inc;UPST;12.24.2020; $43,96 
Upstart Holdings Inc;UPST;12.28.2020; $42,63 
Upstart Holdings Inc;UPST;12.29.2020; $40,75 
Upstart Holdings Inc;UPST;12.30.2020; $38,87 
Upstart Holdings Inc;UPST;12.31.2020; $40,75 
Upstart Holdings Inc;UPST;1.4.2021; $43,99 
Upstart Holdings Inc;UPST;1.5.2021; $48,37 
Upstart Holdings Inc;UPST;1.6.2021; $52,14 
Upstart Holdings Inc;UPST;1.7.2021; $55,39 
Upstart Holdings Inc;UPST;1.8.2021; $52,73 
Upstart Holdings Inc;UPST;1.11.2021; $54,71 
Upstart Holdings Inc;UPST;1.12.2021; $62,48 
Upstart Holdings Inc;UPST;1.13.2021; $57,88 
Upstart Holdings Inc;UPST;1.14.2021; $60,64 
Upstart Holdings Inc;UPST;1.15.2021; $56,00 
Upstart Holdings Inc;UPST;1.19.2021; $54,28 
Upstart Holdings Inc;UPST;1.20.2021; $55,22 
Upstart Holdings Inc;UPST;1.21.2021; $63,77 
Upstart Holdings Inc;UPST;1.22.2021; $64,47 
Upstart Holdings Inc;UPST;1.25.2021; $67,36 
Upstart Holdings Inc;UPST;1.26.2021; $64,45 
Upstart Holdings Inc;UPST;1.27.2021; $64,70 
Upstart Holdings Inc;UPST;1.28.2021; $65,15 
Upstart Holdings Inc;UPST;1.29.2021; $62,19 
Upstart Holdings Inc;UPST;2.1.2021; $70,25 
Upstart Holdings Inc;UPST;2.2.2021; $75,47 
Upstart Holdings Inc;UPST;2.3.2021; $79,75 
Upstart Holdings Inc;UPST;2.4.2021; $75,75 
Upstart Holdings Inc;UPST;2.5.2021; $75,24 
Upstart Holdings Inc;UPST;2.8.2021; $76,00 
Upstart Holdings Inc;UPST;2.9.2021; $80,25 
Upstart Holdings Inc;UPST;2.10.2021; $91,04 
Upstart Holdings Inc;UPST;2.11.2021; $95,13 
Upstart Holdings Inc;UPST;2.12.2021; $102,18 
Upstart Holdings Inc;UPST;2.16.2021; $92,28 
Upstart Holdings Inc;UPST;2.17.2021; $87,24 
Upstart Holdings Inc;UPST;2.18.2021; $82,32 
Upstart Holdings Inc;UPST;2.19.2021; $89,73 
Upstart Holdings Inc;UPST;2.22.2021; $77,01 
Upstart Holdings Inc;UPST;2.23.2021; $73,06 
Upstart Holdings Inc;UPST;2.24.2021; $74,51 
Upstart Holdings Inc;UPST;2.25.2021; $68,52 
Upstart Holdings Inc;UPST;2.26.2021; $65,64 
Upstart Holdings Inc;UPST;3.1.2021; $66,65 
Upstart Holdings Inc;UPST;3.2.2021; $60,36 
Upstart Holdings Inc;UPST;3.3.2021; $57,58 
Upstart Holdings Inc;UPST;3.4.2021; $54,92 
Upstart Holdings Inc;UPST;3.5.2021; $51,16 
Upstart Holdings Inc;UPST;3.8.2021; $46,87 
Upstart Holdings Inc;UPST;3.9.2021; $53,24 
Upstart Holdings Inc;UPST;3.10.2021; $52,99 
Upstart Holdings Inc;UPST;3.11.2021; $59,24 
Upstart Holdings Inc;UPST;3.12.2021; $58,00 
Upstart Holdings Inc;UPST;3.15.2021; $62,93 
Upstart Holdings Inc;UPST;3.16.2021; $60,05 
Upstart Holdings Inc;UPST;3.17.2021; $60,79 
Upstart Holdings Inc;UPST;3.18.2021; $115,09 
Upstart Holdings Inc;UPST;3.19.2021; $125,28 
Upstart Holdings Inc;UPST;3.22.2021; $164,87 
Upstart Holdings Inc;UPST;3.23.2021; $118,48 
Upstart Holdings Inc;UPST;3.24.2021; $112,28 
Upstart Holdings Inc;UPST;3.25.2021; $123,73 
Upstart Holdings Inc;UPST;3.26.2021; $142,95 
Upstart Holdings Inc;UPST;3.29.2021; $134,49 
Upstart Holdings Inc;UPST;3.30.2021; $129,28 
Upstart Holdings Inc;UPST;3.31.2021; $128,86 
Upstart Holdings Inc;UPST;4.1.2021; $144,28 
Upstart Holdings Inc;UPST;4.5.2021; $140,52 
Upstart Holdings Inc;UPST;4.6.2021; $144,30 
Upstart Holdings Inc;UPST;4.7.2021; $126,07 
Upstart Holdings Inc;UPST;4.8.2021; $123,33 
Upstart Holdings Inc;UPST;4.9.2021; $127,29 
Upstart Holdings Inc;UPST;4.12.2021; $112,46 
Upstart Holdings Inc;UPST;4.13.2021; $110,46 
Upstart Holdings Inc;UPST;4.14.2021; $104,51 
Upstart Holdings Inc;UPST;4.15.2021; $110,40 
Upstart Holdings Inc;UPST;4.16.2021; $104,65 
Upstart Holdings Inc;UPST;4.19.2021; $97,55 
Upstart Holdings Inc;UPST;4.20.2021; $91,79 
Upstart Holdings Inc;UPST;4.21.2021; $100,61 
Upstart Holdings Inc;UPST;4.22.2021; $101,44 
Upstart Holdings Inc;UPST;4.23.2021; $107,38 
Upstart Holdings Inc;UPST;4.26.2021; $111,24 
Upstart Holdings Inc;UPST;4.27.2021; $116,33 
Upstart Holdings Inc;UPST;4.28.2021; $113,75 
Upstart Holdings Inc;UPST;4.29.2021; $108,56 
Upstart Holdings Inc;UPST;4.30.2021; $109,02 
Upstart Holdings Inc;UPST;5.3.2021; $114,20 
